Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Random;Workload_Large;2x512_1x1024_1x2304_1x4096;163575;93.82732624742982;201224.229840832;819374.0730771541
Random;Workload_Medium;2x512_1x1024_1x2304_1x4096;136306;41.512018575658274;293052.5802561199;344606.2644903502
Random;Workload_Mid-energy skew;2x512_1x1024_1x2304_1x4096;130094;8.22725004593976;33024.2965095365;71795.19952106818
Random;Workload_High-energy skew;2x512_1x1024_1x2304_1x4096;135832;68.14667354936628;367871.42240890855;742346.1819494853
Random;Workload_Small;2x512_1x1024_1x2304_1x4096;123444;22.952761439022524;78203.03819190383;281715.4208209055
Random;Workload_Uniform;2x512_1x1024_1x2304_1x4096;129749;29.713307980707533;24013.387302302202;306553.2449625586
Random;Workload_Low-energy skew;2x512_1x1024_1x2304_1x4096;134536;23.49398215624576;19350.24083460518;322263.2215904581
Random;Workload_Large;3x1024_2x4096;147195;64.57749981393053;137335.76071562176;515982.6032182531
Random;Workload_Medium;3x1024_2x4096;137405;28.723555876075324;142605.44312039707;298934.005718063
Random;Workload_Mid-energy skew;3x1024_2x4096;130860;16.021069353101392;30402.21051073772;208773.69424688932
Random;Workload_High-energy skew;3x1024_2x4096;129694;29.713307980707533;319141.5751946273;235277.0915071988
Random;Workload_Small;3x1024_2x4096;124704;14.4279625415802;137742.62383364126;170160.91743408266
Random;Workload_Uniform;3x1024_2x4096;136867;44.85416759226358;95886.36679688923;616355.3194603915
Random;Workload_Low-energy skew;3x1024_2x4096;128554;12.050803277209498;67169.30503908417;158227.09609416578
Random;Workload_Large;2x2304_2x4096;156803;43.77942742878607;105470.92782650556;244587.57677516516
Random;Workload_Medium;2x2304_2x4096;137665;30.702825386118658;108966.10574152652;304593.1205241941
Random;Workload_Mid-energy skew;2x2304_2x4096;129587;8.22725004593976;24307.721265768065;71185.5953829076
Random;Workload_High-energy skew;2x2304_2x4096;123457;25.652140785229705;152935.4481128623;200673.62461262778
Random;Workload_Small;2x2304_2x4096;121390;8.15833044052124;106877.8541841291;63497.57102727321
Random;Workload_Uniform;2x2304_2x4096;136356;10.776814583785429;48851.22040825088;47939.65526033259
Random;Workload_Low-energy skew;2x2304_2x4096;136607;5.106756989331444;40654.76830033621;42665.92518463906
Random;Workload_Large;1x512_3x4096;152282;55.16899649158085;20622.495299894952;364738.64096377196
Random;Workload_Medium;1x512_3x4096;137504;49.08808470815723;167179.69274423292;500027.4821097626
Random;Workload_Mid-energy skew;1x512_3x4096;132196;5.817010245560928;26941.716911375945;37512.18304563821
Random;Workload_High-energy skew;1x512_3x4096;132643;49.84012104507186;239581.44330671997;471311.9869519324
Random;Workload_Small;1x512_3x4096;123572;8.15833044052124;70066.34530988382;64415.25591468869
Random;Workload_Uniform;1x512_3x4096;133108;12.968965857247687;61307.16169594163;88232.3559961519
Random;Workload_Low-energy skew;1x512_3x4096;143841;21.63537781878213;90702.12205199228;249939.34773316592
Random;Workload_Large;4x1024;160290;98.53286842358594;95312.77906201113;535867.8539852084
Random;Workload_Medium;4x1024;142805;34.2826910336986;93291.47702711241;153749.1651089252
Random;Workload_Mid-energy skew;4x1024;135845;12.050803277209498;77402.29334108625;74535.62403809364
Random;Workload_High-energy skew;4x1024;140707;47.036027607181545;298836.0976339943;230323.6196381761
Random;Workload_Small;4x1024;128553;21.70505213737488;180154.23463750794;158011.80199622444
Random;Workload_Uniform;4x1024;133107;20.215925308832578;98664.88931793904;52043.46765504626
Random;Workload_Low-energy skew;4x1024;128762;12.702930017814685;65053.24815485083;110407.12109196477
Random;Workload_Large;4x512;154809;123.50240707082354;124110.23189121409;337696.73191885074
Random;Workload_Medium;4x512;141321;50.025599963336404;137724.89372634987;154921.06656349936
Random;Workload_Mid-energy skew;4x512;153480;24.512581318222733;36527.33750767526;188441.60678447556
Random;Workload_High-energy skew;4x512;142264;76.5083559055612;432639.75819014735;331914.74312460463
Random;Workload_Small;4x512;132158;35.64546871185303;154887.67815591488;262091.03421185783
Random;Workload_Uniform;4x512;133597;41.512018575658274;209894.29007975155;186497.9324286328
Random;Workload_Low-energy skew;4x512;137377;21.63537781878213;93663.32353910626;188700.7715058079
Random;Workload_Large;3x4096;156745;43.27294011717459;52545.23279564773;163477.4178716555
