Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Greedy;Workload_Small;2x512_1x1024_1x2304_1x4096;114657651;35.64546871185303;147047.988648643;483791.57650837407
Greedy;Workload_MobileNet;2x512_1x1024_1x2304_1x4096;816510597;2.006101102132097;11073.083367051226;4416.75730015562
Greedy;Workload_DenseNet;2x512_1x1024_1x2304_1x4096;819411011;45.725536003259286;457172.670997552;113496.62080520325
Greedy;Workload_Large;3x1024_2x4096;9317986402;221.97681899781554;92723.35282113717;2710448.722426847
Greedy;Workload_Medium;3x1024_2x4096;814775552;47.530483797845235;65610.34965390914;587049.1448181184
Greedy;Workload_VGG;3x1024_2x4096;816987369;4.213668067083768;33731.41593955805;7402.582940309432
Greedy;Workload_ResNet;3x1024_2x4096;815499913;22.935544834274605;222964.41813983742;24473.192814928334
Greedy;Workload_Small;3x1024_2x4096;113846441;7.00629890731417;94347.76483403676;69375.70453134668
Greedy;Workload_MobileNet;3x1024_2x4096;817467315;2.006101102132097;11473.801022484695;4923.1043715510505
Greedy;Workload_DenseNet;3x1024_2x4096;816489046;34.50363798716286;321778.0352948082;29811.2622986147
Greedy;Workload_Large;2x2304_2x4096;7290788314;86.25589194407517;63989.65348912769;482896.51607742463
Greedy;Workload_Medium;2x2304_2x4096;629277049;29.69688864474044;47861.03034573638;244290.18333301815
Greedy;Workload_VGG;2x2304_2x4096;628820691;4.213668067083768;22467.093941940977;5877.163218910605
Greedy;Workload_ResNet;2x2304_2x4096;630114774;19.93325477776704;133441.30159368308;15101.002863945834
Greedy;Workload_Small;2x2304_2x4096;85015535;12.09356451034546;78989.27581265743;118974.2547751381
Greedy;Workload_MobileNet;2x2304_2x4096;629321589;2.071461495788357;9173.938027073862;532.7858022718768
Greedy;Workload_DenseNet;2x2304_2x4096;630148848;30.846491285957832;193721.25585887898;19785.36510658123
Greedy;Workload_Large;1x512_3x4096;7163726698;78.69231877748778;53215.02525357897;485605.523434073
Greedy;Workload_Medium;1x512_3x4096;630889227;21.83681874090908;15540.354015512108;149751.1370079512
Greedy;Workload_VGG;1x512_3x4096;629548496;4.213668067083768;26492.63434328245;4639.125379578745
Greedy;Workload_ResNet;1x512_3x4096;630063811;23.745327238444997;89467.99255573304;106192.62529692888
Greedy;Workload_Small;1x512_3x4096;84968574;7.370271149870598;7898.917766980294;64189.192352954095
Greedy;Workload_MobileNet;1x512_3x4096;635627936;2.2486153733275014;9182.568194938845;2965.2857023952874
Greedy;Workload_DenseNet;1x512_3x4096;629183432;35.64546871185303;270196.5456298991;58678.35767759317
Greedy;Workload_Large;4x1024;7441327117;215.18956384012333;89844.54771218485;1337605.4216783391
Greedy;Workload_Medium;4x1024;630551192;55.592144966032606;167747.4228298395;341838.056606738
Greedy;Workload_VGG;4x1024;628730268;6.66562509755959;29974.042499695275;0.0
Greedy;Workload_ResNet;4x1024;629169682;44.087402119726804;209104.8769426235;0.0
Greedy;Workload_Small;4x1024;84899792;18.98564471162185;10086.110897358274;148531.70129969122
Greedy;Workload_MobileNet;4x1024;628830989;2.241439317177313;8801.615996237433;0.0
Greedy;Workload_DenseNet;4x1024;628728062;66.32394275021989;302615.2232762106;0.0
Greedy;Workload_Large;4x512;7152524631;347.470338328613;122717.39061128382;1982881.5290145774
Greedy;Workload_Medium;4x512;632165482;57.417545022420214;33595.698261922706;95016.00472609923
Greedy;Workload_VGG;4x512;630620243;8.39464883652905;33553.2764485574;0.0
Greedy;Workload_ResNet;4x512;629900437;79.79566515514601;319340.665756135;0.0
Greedy;Workload_Small;4x512;84885346;35.64546871185303;150260.80659517783;265682.7609548847
Greedy;Workload_MobileNet;4x512;630673450;2.2486153733275014;8311.233278746351;0.0
Greedy;Workload_DenseNet;4x512;629276909;108.92155481528488;433129.66642015835;0.0
Greedy;Workload_Large;3x4096;5292437514;73.52451602226776;14953.462568945411;177255.5511695667
Greedy;Workload_Medium;3x4096;454191939;21.1546320389067;15498.842181486656;71800.13245443505
Greedy;Workload_VGG;3x4096;477658161;5.019497730931949;15474.312461380712;6568.72732752753
Greedy;Workload_ResNet;3x4096;560595158;23.745327238444997;89467.99255573304;31074.14093865879
Greedy;Workload_Small;3x4096;73667860;7.370271149870598;7898.917766980294;40873.29560711417
Greedy;Workload_MobileNet;3x4096;568056125;2.956975559365084;7015.789025504968;3869.623457330685
Greedy;Workload_DenseNet;3x4096;459072189;36.745631253350304;128138.8246026854;48086.889390089884
Batched-1;Workload_Large;4x2304;1106641634;252.8585882541869;5637.695748210495;2768780.060607193
Batched-1;Workload_Medium;4x2304;276504693;64.09731803691993;5716.415327055134;701860.1873258029
Batched-1;Workload_VGG;4x2304;278786937;17.140246170267602;5716.415327055134;187684.23947075455
Batched-1;Workload_ResNet;4x2304;277609572;89.83347715241902;34720.96337686152;983668.9433091109
Batched-1;Workload_Small;4x2304;69395045;16.741499675095703;5972.25395830021;183317.99922282944
Batched-1;Workload_MobileNet;4x2304;276320128;7.9308980003920215;2123.6706688887184;86842.65936073574
Batched-1;Workload_DenseNet;4x2304;284717659;141.4846508246011;50955.32957130621;1549244.9071626104
Batched-1;Workload_Large;1x512_1x1024_1x2304_1x4096;1105608084;175.3930895061991;4930.9018547451915;1775167.7920288704
Batched-1;Workload_Medium;1x512_1x1024_1x2304_1x4096;276077022;44.46052917235906;4999.752416156385;449988.6490712754
Batched-1;Workload_VGG;1x512_1x1024_1x2304_1x4096;278731411;13.03799599242804;4999.752416156385;131958.62290538946
Batched-1;Workload_ResNet;1x512_1x1024_1x2304_1x4096;276654511;61.677780919378506;28907.120304411597;624245.860997983
Batched-1;Workload_Small;1x512_1x1024_1x2304_1x4096;68999327;11.612590939684813;5223.5167407427625;117531.9818823658
Batched-1;Workload_MobileNet;1x512_1x1024_1x2304_1x4096;275652875;7.680656025628216;2266.8023680570113;77736.54729917843
Batched-1;Workload_DenseNet;1x512_1x1024_1x2304_1x4096;276226945;95.44568375200149;41401.67128650262;966013.5650825509
Batched-1;Workload_Large;4x1024_1x2304;1488136602;252.8585882541869;5637.695748210495;3345424.384985002
Batched-1;Workload_Medium;4x1024_1x2304;375995661;64.09731803691993;5716.415327055134;848034.20067066
Batched-1;Workload_VGG;4x1024_1x2304;373111928;17.140246170267602;5716.415327055134;226772.59213761173
Batched-1;Workload_ResNet;4x1024_1x2304;373637003;89.83347715241902;34720.96337686152;1188534.2994622188
Batched-1;Workload_Small;4x1024_1x2304;93025542;16.741499675095703;5972.25395830021;221497.01001249763
Batched-1;Workload_MobileNet;4x1024_1x2304;371673072;7.9308980003920215;2123.6706688887184;104929.08209496393
Batched-1;Workload_DenseNet;4x1024_1x2304;375375161;141.4846508246011;50955.32957130621;1871900.828987846
Batched-1;Workload_Large;2x512_1x1024_1x2304_1x4096;1503577668;175.3930895061991;4930.9018547451915;2330024.8768909653
Batched-1;Workload_Medium;2x512_1x1024_1x2304_1x4096;371879263;44.46052917235906;4999.752416156385;590639.7983124166
Batched-1;Workload_VGG;2x512_1x1024_1x2304_1x4096;372438839;13.03799599242804;4999.752416156385;173204.4009982978
Batched-1;Workload_ResNet;2x512_1x1024_1x2304_1x4096;371500492;61.677780919378506;28907.120304411597;819363.8888406918
Batched-1;Workload_Small;2x512_1x1024_1x2304_1x4096;93733991;11.612590939684813;5223.5167407427625;154268.4825884655
Batched-1;Workload_MobileNet;2x512_1x1024_1x2304_1x4096;373964399;7.680656025628216;2266.8023680570113;102034.34845090468
Batched-1;Workload_DenseNet;2x512_1x1024_1x2304_1x4096;372385032;95.44568375200149;41401.67128650262;1267956.5549597726
Batched-1;Workload_Large;3x1024_2x4096;1619814379;175.3930895061991;4930.9018547451915;2455251.8184048673
Batched-1;Workload_Medium;3x1024_2x4096;372362279;44.46052917235906;4999.752416156385;622383.6720421019
Batched-1;Workload_VGG;3x1024_2x4096;372939166;13.03799599242804;4999.752416156385;182513.2532808991
Batched-1;Workload_ResNet;3x1024_2x4096;373157303;61.677780919378506;28907.120304411597;863400.5147171367
Batched-1;Workload_Small;3x1024_2x4096;93186786;11.612590939684813;5223.5167407427625;162559.6259312446
Batched-1;Workload_MobileNet;3x1024_2x4096;380096316;7.680656025628216;2266.8023680570113;107518.17375792029
Batched-1;Workload_DenseNet;3x1024_2x4096;373300684;95.44568375200149;41401.67128650262;1336102.7464124516
Batched-1;Workload_Large;2x2304_2x4096;1106211315;175.3930895061991;4930.9018547451915;1995218.747146809
Batched-1;Workload_Medium;2x2304_2x4096;276942495;44.46052917235906;4999.752416156385;505769.53494865645
Batched-1;Workload_VGG;2x2304_2x4096;277095382;13.03799599242804;4999.752416156385;148316.29970460135
Batched-1;Workload_ResNet;2x2304_2x4096;275928765;61.677780919378506;28907.120304411597;701627.7843056541
Batched-1;Workload_Small;2x2304_2x4096;69406453;11.612590939684813;5223.5167407427625;132101.32286875194
Batched-1;Workload_MobileNet;2x2304_2x4096;278421009;7.680656025628216;2266.8023680570113;87372.82030816776
Batched-1;Workload_DenseNet;2x2304_2x4096;276221689;95.44568375200149;41401.67128650262;1085761.2354762028
Batched-1;Workload_Large;1x512_3x4096;1111172948;175.3930895061991;4930.9018547451915;1984575.3389618972
Batched-1;Workload_Medium;1x512_3x4096;276619623;44.46052917235906;4999.752416156385;503071.52922088874
Batched-1;Workload_VGG;1x512_3x4096;277659737;13.03799599242804;4999.752416156385;147525.11281319446
Batched-1;Workload_ResNet;1x512_3x4096;281539279;61.677780919378506;28907.120304411597;697884.9812105452
Batched-1;Workload_Small;1x512_3x4096;69193867;11.612590939684813;5223.5167407427625;131396.634070559
Batched-1;Workload_MobileNet;1x512_3x4096;276702564;7.680656025628216;2266.8023680570113;86906.73377397866
Batched-1;Workload_DenseNet;1x512_3x4096;277424118;95.44568375200149;41401.67128650262;1079969.2890858368
Batched-1;Workload_Large;4x1024;1109450344;450.537363885949;7073.73351573399;4470597.658647919
Batched-1;Workload_Medium;4x1024;279521585;114.20706292753346;7172.5046002492445;1133255.2393016077
Batched-1;Workload_VGG;4x1024;275843080;25.520335697806004;7172.5046002492445;253233.49884783803
Batched-1;Workload_ResNet;4x1024;276097148;168.79516709565942;50036.81741696225;1674922.7462518867
Batched-1;Workload_Small;4x1024;69034853;29.829602321170896;7493.510624923819;295993.5423450995
Batched-1;Workload_MobileNet;4x1024;283639982;8.581683335531265;2106.1433813367726;85154.43224548161
Batched-1;Workload_DenseNet;4x1024;277249548;253.93106558113718;72412.95801445996;2519710.279861225
Batched-1;Workload_Large;4x512;1109570784;752.7702350717049;7918.4159487083325;7144179.386635596
