Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Random;Workload_Low-energy skew;2x512_1x1024_1x2304_1x4096;122122;21.39294155982231;94766.62563301994;287114.5903994344
Random;Workload_Mid-energy skew;3x1024_2x4096;118412;4.712141844931757;62128.10972285959;25241.30716881973
Random;Workload_High-energy skew;3x1024_2x4096;119330;34.23395782046581;310770.0462133153;289787.76587137335
Random;Workload_Uniform;3x1024_2x4096;118353;28.723555876075324;103330.29289321131;337421.7548623824
Random;Workload_Low-energy skew;3x1024_2x4096;128836;12.702930017814685;66953.72141445111;169886.51936462804
Random;Workload_Mid-energy skew;2x2304_2x4096;127293;5.076114087488187;23014.359125450406;27682.29701276571
Random;Workload_High-energy skew;2x2304_2x4096;121616;21.83681874090908;141805.11757112446;152243.47099201806
Random;Workload_Uniform;2x2304_2x4096;145294;12.38614147182403;70969.8630320263;62247.284099969394
Random;Workload_Low-energy skew;2x2304_2x4096;127811;5.106756989331444;39627.88176189864;42115.786793803156
Random;Workload_Mid-energy skew;1x512_3x4096;135354;6.39150773219286;24688.05058586215;41121.00400468541
Random;Workload_High-energy skew;1x512_3x4096;136647;28.91697287663473;238925.1811784185;199894.00858068914
Random;Workload_Uniform;1x512_3x4096;119813;41.0738350250524;19420.536521165035;430232.9926012056
Random;Workload_Low-energy skew;1x512_3x4096;132962;21.340906744135776;93216.78942441747;242831.54589214828
Random;Workload_Mid-energy skew;4x1024;131128;13.20159813517772;32706.644163700013;88606.64403126211
Random;Workload_High-energy skew;4x1024;136673;39.1850465767127;285561.2282678219;132755.96714770264
Random;Workload_Uniform;4x1024;150091;39.1850465767127;100563.76700119175;303727.78597427317
Random;Workload_Low-energy skew;4x1024;136361;14.223997686407154;14876.974112094127;131002.09243412694
Random;Workload_Mid-energy skew;4x512;139435;22.939579145669022;36612.181134405866;167176.0526850806
Random;Workload_High-energy skew;4x512;149004;88.2738314387274;328132.91628051235;504250.7204553096
Random;Workload_Uniform;4x512;146849;49.08808470815723;138082.79344217418;280429.473702733
Random;Workload_Low-energy skew;4x512;134558;21.340906744135776;96032.51077839172;182964.0331546685
Random;Workload_Mid-energy skew;3x4096;141274;7.011304395547367;15908.299817101315;39364.65167982444
Random;Workload_High-energy skew;3x4096;135397;19.670101405091533;131420.06393753205;63184.29253751495
Random;Workload_Uniform;3x4096;143424;22.206520312355345;15842.258262969917;167606.86200231317
Random;Workload_Low-energy skew;3x4096;139638;5.972461354528203;37662.22896533641;36758.254368074224
Round-Robin;Workload_Mid-energy skew;4x2304;893028;8.22725004593976;24553.485611573466;62873.25680567989
Round-Robin;Workload_High-energy skew;4x2304;1008465;16.46977514673264;217520.21458717098;4981.204764093823
Round-Robin;Workload_Uniform;4x2304;1059392;11.040628042309786;24251.453894131366;24993.88206718759
Round-Robin;Workload_Low-energy skew;4x2304;901612;7.006313990744372;47505.0809516897;60867.06794026806
Round-Robin;Workload_Mid-energy skew;1x512_1x1024_1x2304_1x4096;922402;14.572448369151488;27771.513857115104;127676.4679488762
Round-Robin;Workload_High-energy skew;1x512_1x1024_1x2304_1x4096;994586;48.4657800841362;285774.97674025287;332836.9762928293
Round-Robin;Workload_Uniform;1x512_1x1024_1x2304_1x4096;1049989;22.952761439022524;27488.414890131262;137076.9168617866
Round-Robin;Workload_Low-energy skew;1x512_1x1024_1x2304_1x4096;902663;21.39294155982231;93426.15404665822;218489.88850768766
Round-Robin;Workload_Mid-energy skew;4x1024_1x2304;1000944;13.20159813517772;37400.61125849756;140079.24045792758
Round-Robin;Workload_High-energy skew;4x1024_1x2304;1105221;28.719591410718728;344011.68335796846;131414.96224287915
Round-Robin;Workload_Uniform;4x1024_1x2304;1184429;29.713307980707533;107939.56935453045;285935.39349505445
Round-Robin;Workload_Low-energy skew;4x1024_1x2304;1004777;12.050803277209498;67473.37292184583;145775.31088216274
Round-Robin;Workload_Mid-energy skew;2x512_1x1024_1x2304_1x4096;1017780;22.939579145669022;36900.79926590154;289720.5330241278
