Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Random;Workload_Low-energy skew;3x4096;141499;6.76545453447288;10637.250247972068;46247.55567469651
Round-Robin;Workload_Large;4x2304;2568695;32.5798961783605;23244.681502657688;0.0
Round-Robin;Workload_Medium;4x2304;1041665;16.46977514673264;72232.11048771918;54357.59843285651
Round-Robin;Workload_Mid-energy skew;4x2304;919327;8.22725004593976;24553.485611573466;62873.25680567989
Round-Robin;Workload_High-energy skew;4x2304;971637;16.46977514673264;217520.21458717098;4981.204764093823
Round-Robin;Workload_Small;4x2304;455094;12.09356451034546;127894.73401595345;96574.92139913511
Round-Robin;Workload_Uniform;4x2304;1040382;11.040628042309786;24251.453894131366;24993.88206718759
Round-Robin;Workload_Low-energy skew;4x2304;896602;7.006313990744372;47505.0809516897;60867.06794026806
Round-Robin;Workload_Large;1x512_1x1024_1x2304_1x4096;2557367;96.99166745383454;26347.26362895037;667111.7422429682
Round-Robin;Workload_Medium;1x512_1x1024_1x2304_1x4096;1047263;48.4657800841362;128898.08017563238;398754.2373823019
Round-Robin;Workload_Mid-energy skew;1x512_1x1024_1x2304_1x4096;930738;14.572448369151488;27771.513857115104;127676.4679488762
Round-Robin;Workload_High-energy skew;1x512_1x1024_1x2304_1x4096;975307;48.4657800841362;285774.97674025287;332836.9762928293
Round-Robin;Workload_Small;1x512_1x1024_1x2304_1x4096;456746;26.113783359527588;183912.45041401032;237012.42179295298
Round-Robin;Workload_Uniform;1x512_1x1024_1x2304_1x4096;1057298;22.952761439022524;27488.414890131262;137076.9168617866
Round-Robin;Workload_Low-energy skew;1x512_1x1024_1x2304_1x4096;912691;21.39294155982231;93426.15404665822;218489.88850768766
Round-Robin;Workload_Large;4x1024_1x2304;2905328;56.673020428887305;102220.26627879543;242009.472503156
Round-Robin;Workload_Medium;4x1024_1x2304;1192775;29.713307980707533;178857.4928963597;198605.60024071083
Round-Robin;Workload_Mid-energy skew;4x1024_1x2304;1006241;13.20159813517772;37400.61125849756;140079.24045792758
Round-Robin;Workload_High-energy skew;4x1024_1x2304;1087586;28.719591410718728;344011.68335796846;131414.96224287915
Round-Robin;Workload_Small;4x1024_1x2304;511707;21.70505213737488;180154.2346375079;237234.62767035302
Round-Robin;Workload_Uniform;4x1024_1x2304;1203617;29.713307980707533;107939.56935453045;285935.39349505445
Round-Robin;Workload_Low-energy skew;4x1024_1x2304;1004945;12.050803277209498;67473.37292184583;145775.31088216274
Round-Robin;Workload_Large;2x512_1x1024_1x2304_1x4096;2908873;95.36085558402361;101738.52168572447;812753.2901547541
Round-Robin;Workload_Medium;2x512_1x1024_1x2304_1x4096;1192454;50.025599963336404;156570.27972763294;499812.5756315164
Round-Robin;Workload_Mid-energy skew;2x512_1x1024_1x2304_1x4096;1038401;22.939579145669022;36900.79926590154;289720.5330241278
Round-Robin;Workload_High-energy skew;2x512_1x1024_1x2304_1x4096;1101169;48.4657800841362;372099.24807679275;451825.1416900273
Round-Robin;Workload_Small;2x512_1x1024_1x2304_1x4096;493042;26.113783359527588;214077.94072011212;291265.9166795664
