Scheduler;Workload;DPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);E_idle(mJ)
Batched-Exhaustive;Workload_Small;4x512;149106774;0.7358777523040771;0.0;0.0
Batched-Exhaustive;Workload_DenseNet;4x512;2554542170;108.92155481528488;0.0;0.0
Batched-Exhaustive;Workload_VGG;4x512;2570214522;8.39464883652905;0.0;0.0
Batched-Exhaustive;Workload_MobileNet;4x512;2566871545;2.2486153733275014;0.0;0.0
Batched-Exhaustive;Workload_Uniform;4x512;2561036260;95.49660177852272;0.0;0.0
Batched-Exhaustive;Workload_ResNet;4x512;2540796592;79.79566515514601;0.0;0.0
Round-Robin;Workload_Small;2x2304_2x4096;361990;0.6779026985168457;0.0;0.0
Round-Robin;Workload_DenseNet;2x2304_2x4096;1098969;36.95420195969418;0.0;0.0
Round-Robin;Workload_VGG;2x2304_2x4096;1167995;4.476839819184178;0.0;0.0
Round-Robin;Workload_MobileNet;2x2304_2x4096;1124377;2.071461495788357;0.0;0.0
Round-Robin;Workload_Uniform;2x2304_2x4096;1134187;16.741499675095703;0.0;0.0
Round-Robin;Workload_ResNet;2x2304_2x4096;1112513;23.463495425716093;0.0;0.0
Round-Robin;Workload_Small;4x1024_1x2304;354153;0.7335293292999268;0.0;0.0
Round-Robin;Workload_DenseNet;4x1024_1x2304;1246902;66.32394275021989;0.0;0.0
Round-Robin;Workload_VGG;4x1024_1x2304;1285542;6.66562509755959;0.0;0.0
Round-Robin;Workload_MobileNet;4x1024_1x2304;1250703;2.241439317177313;0.0;0.0
Round-Robin;Workload_Uniform;4x1024_1x2304;1228417;29.829602321170896;0.0;0.0
Round-Robin;Workload_ResNet;4x1024_1x2304;1273309;44.087402119726804;0.0;0.0
Round-Robin;Workload_Small;3x4096;309156;0.656512975692749;0.0;0.0
Round-Robin;Workload_DenseNet;3x4096;971758;36.745631253350304;0.0;0.0
Round-Robin;Workload_VGG;3x4096;970647;5.019497730931949;0.0;0.0
Round-Robin;Workload_MobileNet;3x4096;1023425;2.956975559365084;0.0;0.0
Round-Robin;Workload_Uniform;3x4096;1006508;17.664433683096995;0.0;0.0
Round-Robin;Workload_ResNet;3x4096;1018773;23.745327238444997;0.0;0.0
Round-Robin;Workload_Small;1x512_1x1024_1x2304_1x4096;328073;0.7358777523040771;0.0;0.0
Round-Robin;Workload_DenseNet;1x512_1x1024_1x2304_1x4096;1076469;108.92155481528488;0.0;0.0
Round-Robin;Workload_VGG;1x512_1x1024_1x2304_1x4096;1146219;8.39464883652905;0.0;0.0
Round-Robin;Workload_MobileNet;1x512_1x1024_1x2304_1x4096;1125428;2.2486153733275014;0.0;0.0
Round-Robin;Workload_Uniform;1x512_1x1024_1x2304_1x4096;1093719;49.84012104507186;0.0;0.0
Round-Robin;Workload_ResNet;1x512_1x1024_1x2304_1x4096;1196821;79.79566515514601;0.0;0.0
Round-Robin;Workload_Small;4x2304;375852;0.6779026985168457;0.0;0.0
Round-Robin;Workload_DenseNet;4x2304;1061887;36.95420195969418;0.0;0.0
Round-Robin;Workload_VGG;4x2304;1121283;4.476839819184178;0.0;0.0
Round-Robin;Workload_MobileNet;4x2304;1125964;2.071461495788357;0.0;0.0
Round-Robin;Workload_Uniform;4x2304;1185983;16.741499675095703;0.0;0.0
Round-Robin;Workload_ResNet;4x2304;1107042;23.463495425716093;0.0;0.0
Round-Robin;Workload_Small;4x512;310954;0.7358777523040771;0.0;0.0
