Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Random;Workload_Low-energy skew;4x1024_1x2304;120379;12.326794169305858;68750.74102052255;149192.91970293553
Random;Workload_Large;2x512_1x1024_1x2304_1x4096;136127;73.55538503961321;101150.39862758269;595924.0731107563
Random;Workload_Medium;2x512_1x1024_1x2304_1x4096;113229;56.66415084065619;228800.21872221885;607861.5049085058
Random;Workload_Mid-energy skew;2x512_1x1024_1x2304_1x4096;111670;13.449621269228672;38964.20677491112;150776.4625253909
Random;Workload_High-energy skew;2x512_1x1024_1x2304_1x4096;125121;30.344706498106326;404832.0057774869;146652.4852803172
Random;Workload_Small;2x512_1x1024_1x2304_1x4096;110672;22.939579145669022;87442.30014245193;266678.8199647402
Random;Workload_Uniform;2x512_1x1024_1x2304_1x4096;121916;30.515645278167977;31751.131316224142;298415.2215822096
Random;Workload_Low-energy skew;2x512_1x1024_1x2304_1x4096;137268;6.76545453447288;13079.589861460823;81275.07055833256
Random;Workload_Large;3x1024_2x4096;135638;86.90421412289922;99072.54425059567;950149.5338626829
Random;Workload_Medium;3x1024_2x4096;125483;39.1850465767127;214485.02999891242;438750.2095739059
Random;Workload_Mid-energy skew;3x1024_2x4096;117287;14.4279625415802;89080.5296157453;170704.55228850234
Random;Workload_High-energy skew;3x1024_2x4096;111949;45.85022817943153;240184.68950319308;478871.5580557081
Random;Workload_Small;3x1024_2x4096;105626;18.98564471162185;10260.751034577981;261150.10306881467
Random;Workload_Uniform;3x1024_2x4096;120592;45.94116826530414;23318.318002803095;642912.2724862582
Random;Workload_Low-energy skew;3x1024_2x4096;120087;12.326794169305858;67686.95866611366;162360.49654681724
Random;Workload_Large;2x2304_2x4096;129289;36.59415661471126;115353.61522590091;161517.94332090966
Random;Workload_Medium;2x2304_2x4096;117993;31.994771058398186;58597.80947964179;320711.4383681207
Random;Workload_Mid-energy skew;2x2304_2x4096;110381;7.67862057685852;65776.35909120522;58941.51458173202
Random;Workload_High-energy skew;2x2304_2x4096;126428;16.99358159618008;180045.239722349;58607.23853303029
Random;Workload_Small;2x2304_2x4096;106024;8.15833044052124;66903.63706566085;68253.65863176165
Random;Workload_Uniform;2x2304_2x4096;123158;12.33786903932218;18995.80992935909;74822.16908254524
Random;Workload_Low-energy skew;2x2304_2x4096;115925;8.452315482295175;14320.523784496168;88374.40348374867
Random;Workload_Large;1x512_3x4096;126821;107.24098956283471;20611.32386978231;1047827.2739875043
Random;Workload_Medium;1x512_3x4096;126085;58.74583410269421;60688.69787035887;635821.7680660643
Random;Workload_Mid-energy skew;1x512_3x4096;118858;7.796715620256312;28386.13315140995;67766.42623542526
Random;Workload_High-energy skew;1x512_3x4096;111109;30.344706498106326;236624.62436857008;219607.4194954779
Random;Workload_Small;1x512_3x4096;121122;10.674808794865275;54562.27386615497;113915.48725273435
Random;Workload_Uniform;1x512_3x4096;125037;25.014949513112935;76933.60650871543;219196.068976868
Random;Workload_Low-energy skew;1x512_3x4096;123346;21.340906744135776;93836.2774293328;242415.98485476553
Random;Workload_Large;4x1024;139182;71.02205064526376;97436.12256944775;170751.79861270558
Random;Workload_Medium;4x1024;113242;39.34340162050868;189136.31037005765;207253.16846264395
Random;Workload_Mid-energy skew;4x1024;114719;16.021069353101392;34605.52184695273;126154.89317549329
Random;Workload_High-energy skew;4x1024;125280;49.699079607039124;248810.51549570044;265786.35900258925
Random;Workload_Small;4x1024;113323;17.834849853653626;156955.13620639933;122034.73608929553
Random;Workload_Uniform;4x1024;120486;24.27046716354763;121627.52571827428;91905.0838953814
Random;Workload_Low-energy skew;4x1024;111372;14.223997686407154;12498.522279558772;131302.0396090308
Random;Workload_Large;4x512;132191;157.8117756846584;227146.12607958354;768723.0026644705
Random;Workload_Medium;4x512;126132;58.621272583387906;225620.6347900876;233288.85560862944
Random;Workload_Mid-energy skew;4x512;120639;24.512581318222733;25546.75365670575;191019.13401829603
Random;Workload_High-energy skew;4x512;116300;76.5083559055612;339598.665287402;346473.0009169541
Random;Workload_Small;4x512;115950;35.64546871185303;254979.75757163938;246924.78639201762
Random;Workload_Uniform;4x512;113267;49.84012104507186;36272.806627483464;295017.6617983696
Random;Workload_Low-energy skew;4x512;113020;22.952761439022524;14948.66137429603;205016.21244544594
Random;Workload_Large;3x4096;128044;34.39077579845325;15145.419803922881;54908.079599143624
